,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
11,28.51,42.2,53.29,18.79,19.05,14.89,21.43,32.87,21.91,17.35,0.0,27.09,0.45,31.55,17.1,13.21,15.98,59.69,42.73,13.51,45.0,35.67,45.29,3.46,0.38,23.81,32.94,32.03,24.82,38.86,35.67,22.15,19.22,31.7,43.15,45.1,21.5,40.96,34.09,40.58,51.36,18.85,29.78,53.75,33.3,45.24,44.77,35.69,26.34,34.36,37.14,29.78,23.89,31.18,35.31,46.14,45.02,44.9,55.41,30.68,25.81,17.42,51.51,42.94,17.86,27.69,33.0,21.48,24.66,27.78,30.98,14.44,44.86,45.53,0.18,38.87,24.11,31.7,8.84,49.32,51.3,43.08,51.08,25.03,42.85,27.71
12,38.27,68.37,24.64,12.25,11.5,36.26,26.53,33.95,48.08,12.59,26.92,0.0,27.01,53.87,13.37,39.39,11.45,36.87,68.9,39.68,62.67,35.92,70.62,23.71,27.11,9.31,43.0,58.2,34.52,68.06,35.92,41.85,16.36,33.93,69.32,33.58,18.02,62.55,7.13,50.63,34.96,12.2,39.54,36.61,36.15,44.54,20.37,36.78,8.24,59.2,39.02,39.54,20.76,41.24,58.94,56.2,32.43,40.37,38.84,40.44,51.98,12.66,40.91,69.12,39.24,37.45,46.02,26.59,17.79,53.96,32.07,35.82,54.92,55.58,27.05,60.46,23.32,33.93,33.01,59.37,43.63,50.99,56.47,22.78,64.44,35.48
13,28.0,42.55,52.78,18.96,18.84,14.38,21.21,32.36,22.25,17.13,0.34,27.26,0.0,31.9,16.89,13.56,16.14,59.18,43.07,13.85,52.11,35.16,45.63,3.24,0.09,23.98,32.44,32.37,24.32,39.21,35.16,22.49,19.01,31.19,43.5,44.59,21.29,41.3,34.26,40.07,50.85,18.63,29.27,53.24,32.79,44.73,44.55,35.18,26.51,34.7,36.64,29.27,23.58,30.67,35.65,45.63,44.52,44.39,54.9,30.17,26.15,17.2,51.0,43.29,17.36,27.18,32.49,21.27,24.44,28.13,30.47,13.93,44.36,45.02,0.52,39.22,23.9,31.19,8.34,48.81,50.79,42.57,50.57,24.81,43.2,27.2
14,14.14,27.24,53.54,47.47,43.16,15.77,33.56,22.36,25.6,42.29,43.7,53.9,44.15,0.0,42.91,19.18,56.74,59.94,29.1,18.71,13.69,20.21,17.72,44.22,44.08,57.91,11.37,21.74,20.68,15.16,20.21,12.85,37.55,31.95,28.58,45.34,37.42,9.65,75.09,4.4,51.61,42.95,11.91,54.0,33.55,16.79,75.1,20.84,67.11,6.3,25.45,11.91,65.27,13.7,6.04,8.45,45.27,45.15,55.66,13.97,15.0,42.36,51.76,28.27,14.14,14.47,33.25,33.45,40.58,28.85,23.73,16.03,20.73,21.39,43.42,7.56,39.66,31.95,21.72,9.54,51.55,43.32,51.33,43.44,11.54,14.57
15,27.0,58.21,21.01,5.81,2.6,23.62,15.26,22.68,37.91,0.89,16.88,13.34,16.88,42.6,0.0,29.22,12.67,32.03,58.73,29.51,51.4,24.65,59.35,13.67,16.98,17.36,31.73,48.04,23.25,56.79,24.65,29.21,5.08,22.66,59.16,23.96,6.75,51.27,21.46,39.36,27.24,2.4,28.27,29.74,24.87,33.27,28.32,25.5,19.0,47.93,27.75,28.27,21.2,29.97,47.66,44.93,24.97,32.92,33.99,29.16,41.81,0.96,33.45,58.95,26.6,26.18,24.14,15.32,9.91,43.79,20.8,23.18,43.65,44.31,17.01,49.19,12.05,22.66,22.37,48.1,36.17,37.77,45.77,10.28,53.17,24.21
16,18.24,30.0,59.13,31.47,33.09,11.71,30.32,38.7,10.3,30.03,13.62,39.78,14.07,18.34,29.79,0.0,28.66,65.53,30.52,0.29,31.79,28.69,33.08,16.14,14.0,36.5,19.86,19.82,30.66,26.66,28.69,8.93,28.11,37.54,30.54,50.93,30.39,27.74,46.78,18.12,57.2,32.89,16.3,59.59,39.14,33.62,58.81,30.12,39.03,21.14,42.98,16.3,37.08,22.19,22.09,26.55,50.86,50.74,61.25,17.57,13.6,30.1,57.35,30.24,16.0,18.57,38.84,30.37,33.55,16.79,36.82,11.98,33.25,33.91,13.34,25.66,33.0,37.54,14.68,27.63,57.14,48.91,56.92,33.92,29.64,18.67
17,41.15,56.84,35.72,6.52,13.69,27.52,26.61,34.03,36.55,11.99,15.39,11.62,15.48,56.45,12.25,27.86,0.0,47.94,57.37,28.15,65.26,36.0,59.93,12.18,15.58,8.34,45.58,46.67,37.46,53.5,36.0,33.11,16.44,34.01,57.79,44.66,18.1,65.13,18.62,53.22,46.04,13.49,42.42,47.68,36.23,57.88,32.02,36.86,10.87,61.79,39.1,42.42,9.04,43.82,61.52,58.78,43.5,51.45,49.91,43.32,40.45,12.05,51.99,57.59,30.5,40.33,35.49,26.67,21.26,42.42,32.15,27.08,57.5,58.17,15.52,63.04,23.4,34.01,21.48,61.96,54.71,55.72,63.72,21.63,67.02,40.35
18,48.35,104.67,12.25,41.87,31.38,54.19,36.71,40.35,78.67,32.46,61.83,36.77,62.28,63.65,33.25,67.26,48.73,0.0,106.54,67.56,81.14,42.31,80.4,46.32,62.21,48.33,52.78,77.69,44.66,92.6,42.31,56.24,33.17,38.11,106.01,14.42,30.26,82.5,34.58,60.42,9.21,32.07,49.62,8.05,40.77,63.11,29.05,43.17,44.8,68.99,45.42,49.62,57.27,51.02,68.72,65.98,15.07,26.63,7.85,50.52,71.46,32.53,27.16,105.71,51.84,47.53,32.28,36.86,27.39,85.85,38.46,54.45,64.71,64.16,61.55,70.24,30.28,38.11,56.82,79.33,29.88,37.25,42.72,29.08,84.39,47.55
19,42.59,1.83,97.18,60.92,71.61,35.66,62.01,50.81,25.43,59.48,43.06,69.23,43.51,29.09,59.23,30.2,58.11,101.87,0.0,29.73,30.95,48.65,16.62,45.59,43.44,65.94,39.82,10.7,49.13,14.29,48.65,29.71,65.99,60.4,1.13,73.79,65.87,27.05,118.73,32.85,93.54,71.4,40.36,95.93,62.0,54.96,118.73,48.96,68.47,26.23,61.64,40.36,66.53,42.15,25.14,32.54,88.91,73.63,97.54,42.42,16.92,59.55,72.28,0.82,38.07,42.91,71.32,61.89,69.03,19.64,52.18,35.93,40.65,42.86,42.78,21.55,68.11,60.4,41.63,29.57,72.07,63.84,67.87,71.89,28.95,43.02
20,17.95,29.7,59.6,31.95,33.57,13.25,30.79,39.18,10.69,30.51,14.09,40.26,14.54,18.05,30.26,1.23,29.14,66.0,30.23,0.0,31.49,28.4,32.79,16.62,14.47,36.97,19.56,19.53,22.31,26.36,28.4,8.64,28.59,38.01,30.25,51.41,30.87,27.45,47.26,17.82,57.68,33.36,16.0,60.06,39.61,33.33,59.28,29.83,39.5,20.85,43.46,16.0,37.56,21.89,21.8,26.26,51.34,51.21,61.73,17.27,13.31,30.58,57.82,29.94,15.71,18.28,39.31,30.85,34.02,16.49,37.3,13.52,32.96,33.62,13.81,25.37,33.48,38.01,15.16,27.34,57.61,49.39,57.39,34.39,29.35,18.38
21,26.76,29.21,71.32,56.12,51.81,28.39,53.15,41.06,44.4,50.94,52.35,62.55,52.81,13.33,51.56,31.81,65.39,76.01,31.07,31.35,0.0,25.06,22.09,52.87,52.73,66.57,23.99,29.76,29.33,17.13,25.06,25.48,46.2,46.93,30.54,64.78,46.07,2.01,92.87,17.02,67.68,51.6,24.53,70.07,40.53,29.11,92.88,26.52,75.76,15.24,35.78,24.53,73.93,22.34,14.14,6.08,63.05,47.77,71.68,26.59,29.89,51.01,46.42,30.24,26.76,27.09,45.46,53.04,49.23,40.11,42.64,28.65,14.18,17.0,52.07,10.97,59.26,46.93,34.35,3.1,46.21,37.99,42.01,61.01,5.14,27.19
22,14.8,46.52,33.25,29.87,25.56,15.53,10.19,2.73,34.26,24.69,33.85,36.3,34.3,20.24,25.31,27.84,36.73,39.65,48.38,27.37,25.0,0.0,36.99,34.37,34.23,40.32,9.37,34.28,7.21,34.44,0.0,18.58,19.95,7.05,47.85,25.05,19.82,28.92,54.8,17.01,31.32,25.35,10.08,33.71,5.32,9.77,54.8,2.0,41.95,25.58,5.82,10.08,45.27,7.51,25.31,18.53,24.98,23.66,35.37,12.14,28.05,24.76,31.37,47.55,13.19,13.97,12.99,10.08,22.98,37.96,4.35,15.79,16.04,16.7,33.57,26.83,16.29,7.05,28.84,21.7,30.07,21.84,29.84,20.84,30.81,13.99
23,31.28,16.42,70.68,64.61,60.3,32.91,50.7,39.5,32.68,59.43,45.67,71.04,46.12,17.79,60.05,32.81,73.88,77.08,16.6,32.34,22.3,37.35,0.0,61.36,46.05,75.06,28.51,18.03,37.82,6.85,37.35,29.93,54.69,49.09,17.73,62.49,54.56,18.41,92.23,21.54,68.75,60.09,29.05,71.14,50.69,46.32,92.24,37.65,84.25,14.93,53.0,29.05,69.13,30.84,13.83,23.9,62.42,64.98,72.8,31.11,19.53,59.5,63.63,17.42,31.28,31.61,50.39,50.59,57.72,28.38,40.87,33.17,32.0,34.22,45.39,10.24,56.8,49.09,38.86,20.92,63.43,55.2,59.22,60.58,15.37,31.71
24,29.12,44.81,34.0,15.33,15.6,15.49,19.96,33.47,24.52,13.89,3.36,23.64,3.36,44.42,13.64,15.83,12.52,45.02,45.34,16.12,53.23,36.28,47.9,0.0,3.45,20.36,33.55,34.64,25.43,41.47,36.28,21.08,17.65,32.31,45.76,45.7,19.32,53.1,30.64,41.19,40.23,15.39,30.39,42.73,33.91,45.85,41.31,36.3,22.89,49.76,37.75,30.39,21.05,31.79,49.49,46.75,45.63,45.51,56.02,31.28,28.42,13.96,52.12,45.56,18.47,28.3,33.61,20.02,22.47,30.39,31.59,15.05,45.47,46.13,3.49,51.01,22.65,32.31,9.45,49.93,51.91,43.68,51.69,22.85,54.99,28.32
25,28.78,42.47,53.55,19.24,19.13,15.15,21.5,33.13,22.17,17.42,0.26,27.55,0.35,31.82,17.17,13.48,16.43,59.96,42.99,13.77,45.27,35.93,45.55,3.53,0.0,24.27,33.21,32.29,25.09,39.13,35.93,22.41,19.3,31.97,43.42,45.36,21.57,41.22,34.55,40.84,51.63,18.92,30.05,54.02,33.57,45.5,44.84,35.96,26.8,34.62,37.41,30.05,23.87,31.45,35.57,46.41,45.29,45.16,55.68,30.94,26.07,17.49,51.77,43.21,18.13,27.96,33.27,21.56,24.73,28.05,31.25,14.71,45.13,45.79,0.44,39.14,24.19,31.97,9.11,49.58,51.57,43.34,51.34,25.1,43.12,27.97
26,42.28,64.99,35.66,14.67,15.51,35.67,30.54,37.95,44.69,16.59,23.53,9.31,23.63,57.88,17.37,36.0,8.46,47.89,65.51,36.29,66.68,39.92,74.62,20.32,23.72,0.0,47.01,54.82,38.52,72.07,39.92,41.26,20.36,37.94,65.94,44.6,22.03,66.55,14.06,54.64,45.98,16.2,43.55,47.63,40.15,48.54,24.83,40.78,4.16,63.21,43.03,43.55,12.33,45.24,62.94,60.2,43.45,51.39,49.86,44.44,48.59,16.66,51.93,65.73,38.65,41.46,40.82,30.59,21.8,50.57,36.07,35.23,58.93,59.59,23.67,64.47,27.32,37.94,29.63,63.38,54.65,62.01,67.49,25.56,68.45,39.49
27,4.8,38.03,43.24,37.17,32.86,8.02,23.26,12.06,25.77,31.99,33.4,43.6,33.85,11.76,32.61,19.35,46.44,49.64,39.89,18.89,24.48,9.91,28.5,33.92,33.78,47.61,0.0,25.79,10.38,25.95,9.91,10.09,27.25,21.65,39.36,35.04,27.12,20.43,64.79,8.52,41.31,32.65,2.57,43.7,23.25,14.83,64.8,11.34,56.8,17.09,15.15,2.57,54.97,2.2,16.82,15.74,34.97,34.85,45.36,4.62,19.57,32.06,41.46,39.06,5.67,5.12,22.95,23.15,30.28,29.47,13.43,8.27,14.46,15.12,33.12,18.35,29.36,21.65,28.39,18.91,41.25,33.02,41.03,33.14,22.33,5.23
28,28.56,10.17,67.96,50.22,51.83,24.96,47.98,36.78,14.73,48.78,32.36,58.52,32.81,20.34,48.53,19.5,47.41,74.36,10.7,19.03,30.17,34.62,18.9,34.89,32.74,55.24,25.79,0.0,35.1,12.49,34.62,19.01,51.97,46.37,10.72,59.76,51.84,26.28,65.52,21.79,66.03,51.63,26.33,68.42,47.97,39.55,89.51,36.05,57.77,17.58,39.87,26.33,55.83,28.12,18.53,31.77,59.69,59.57,70.08,28.39,6.22,48.84,71.51,10.41,27.37,28.89,47.67,47.86,55.0,10.44,38.15,25.23,39.87,42.09,32.08,20.78,54.08,46.37,30.93,28.79,71.3,63.07,67.09,57.86,28.18,28.99
29,5.74,47.61,34.66,28.11,23.8,11.58,8.03,5.18,41.66,22.93,24.82,34.54,25.27,21.34,23.55,30.25,37.86,41.06,49.47,30.54,30.14,6.62,38.08,25.34,25.2,38.56,10.47,35.37,0.0,35.53,6.62,13.63,18.19,13.07,48.94,26.46,18.06,30.01,56.21,18.1,32.73,23.6,7.01,35.12,7.38,22.76,56.21,7.48,40.19,26.67,10.25,7.01,46.39,8.7,26.4,23.67,26.39,26.26,36.78,7.9,29.15,23.0,32.88,48.64,9.23,5.25,14.37,7.91,21.22,33.0,3.24,12.88,22.39,23.05,24.54,27.93,13.35,13.07,19.81,26.84,32.67,24.44,32.44,20.73,31.91,4.93
30,29.85,12.43,84.44,63.18,58.87,31.48,49.27,38.07,27.63,58.0,39.08,69.61,39.53,16.35,58.62,26.22,54.13,89.13,14.29,25.75,18.21,35.91,6.82,41.61,39.46,61.96,27.08,12.98,36.39,0.0,35.91,22.0,53.25,47.66,13.77,61.05,53.13,14.31,105.99,20.11,80.8,58.66,27.62,83.19,49.26,42.23,105.99,36.22,64.49,13.49,48.9,27.62,62.55,29.41,12.4,19.8,76.17,60.89,84.8,29.68,12.94,58.07,59.54,13.46,29.84,30.18,58.58,49.15,56.29,23.33,39.44,31.73,27.91,30.12,38.8,8.81,55.37,47.66,37.43,16.83,59.33,51.1,55.13,59.15,16.21,30.28
31,14.8,46.52,33.25,29.87,25.56,15.53,10.19,2.73,34.26,24.69,33.85,36.3,34.3,20.24,25.31,27.84,36.73,39.65,48.38,27.37,25.0,0.0,36.99,34.37,34.23,40.32,9.37,34.28,7.21,34.44,0.0,18.58,19.95,7.05,47.85,25.05,19.82,28.92,54.8,17.01,31.32,25.35,10.08,33.71,5.32,9.77,54.8,2.0,41.95,25.58,5.82,10.08,45.27,7.51,25.31,18.53,24.98,23.66,35.37,12.14,28.05,24.76,31.37,47.55,13.19,13.97,12.99,10.08,22.98,37.96,4.35,15.79,16.04,16.7,33.57,26.83,16.29,7.05,28.84,21.7,30.07,21.84,29.84,20.84,30.81,13.99
32,9.31,29.18,46.82,34.62,31.28,5.96,26.84,18.67,15.68,29.64,22.12,42.02,22.58,12.4,29.39,9.26,33.67,53.23,29.7,8.8,25.84,19.76,29.87,21.15,22.5,41.51,10.93,19.01,13.68,22.11,19.76,0.0,26.3,25.23,29.72,38.63,28.58,21.8,50.13,9.27,44.9,31.08,7.37,47.28,26.83,24.69,68.38,21.19,44.04,15.2,25.01,7.37,45.59,13.25,16.15,18.62,38.56,38.43,48.95,8.64,12.78,29.71,45.04,29.42,7.07,9.64,26.53,26.73,31.74,19.38,16.73,6.23,24.32,24.98,21.84,19.72,26.21,25.23,11.92,21.69,44.84,36.61,44.61,32.11,23.7,9.74
33,21.92,63.78,22.14,9.92,5.61,20.53,10.18,17.59,36.36,4.74,19.01,16.35,19.02,37.51,5.36,27.67,16.79,33.16,65.65,27.96,46.32,19.56,54.26,17.7,19.11,20.37,26.64,51.55,18.16,51.71,19.56,26.12,0.0,17.58,65.12,22.75,2.91,46.19,24.46,34.28,28.37,5.41,23.19,30.87,19.79,28.18,31.33,20.42,22.01,42.85,22.66,23.19,25.32,24.88,42.58,39.84,22.75,27.73,35.13,24.08,45.32,4.81,28.27,64.82,23.51,21.09,19.05,10.23,6.07,42.23,15.71,20.09,38.56,39.23,19.14,44.1,6.96,17.58,18.06,43.02,30.99,32.68,40.68,6.44,48.08,19.13
