,24.35,26.01,24.72,13.97,18.12,28.58,31.21,24.24,28.41,29.08,31.15,3.72
2,44.91,0.0,72.72,73.28,72.31,44.56,56.47,53.57,30.24,69.78,50.06,81.74,51.54,27.04,69.6,35.61,68.79,83.6,3.84,35.71,26.89,49.57,19.68,54.49,51.55,79.59,39.06,12.12,47.52,14.32,49.57,34.86,64.38,52.8,4.17,68.88,65.37,22.68,88.04,33.5,72.79,73.56,41.18,78.08,54.76,42.72,85.74,51.9,79.45,25.1,48.84,41.18,77.47,43.83,23.43,29.84,65.79,61.94,78.02,44.41,18.48,70.08,59.25,3.39,45.04,45.44,54.79,56.13,69.46,23.34,52.17,45.21,39.63,38.79,49.87,18.91,63.69,52.8,51.78,24.68,59.07,52.1,54.61,68.0,25.54,46.19
3,34.62,72.37,0.0,28.05,24.86,44.6,27.02,30.79,60.96,27.26,45.82,23.3,47.31,48.73,29.03,51.42,35.54,15.16,73.85,51.84,56.8,33.83,67.07,42.45,47.32,33.32,37.03,63.46,33.17,60.21,33.83,47.25,26.97,27.95,75.47,11.5,23.65,55.71,19.33,45.72,14.43,27.55,37.05,14.08,31.62,42.22,17.03,35.0,32.2,54.19,37.96,37.05,45.45,37.84,53.63,51.49,9.75,14.58,15.22,37.96,57.09,27.57,15.11,74.69,41.46,35.08,22.24,27.16,20.97,68.86,28.01,45.08,47.31,44.81,45.63,54.98,23.45,27.95,39.41,53.13,17.61,26.38,28.02,21.56,58.57,35.86
4,35.59,72.69,29.37,0.0,10.86,33.96,24.09,33.92,49.6,7.11,24.77,16.91,24.44,50.62,7.76,38.3,7.49,40.92,73.65,38.72,63.82,36.97,68.97,18.9,24.67,18.15,38.93,60.8,33.63,63.26,36.97,43.13,12.77,33.74,73.8,33.62,14.68,59.15,25.41,47.62,36.55,12.11,38.02,39.84,35.89,48.72,28.11,38.14,18.01,56.09,41.1,38.02,17.4,39.74,55.53,53.39,31.86,36.69,40.98,38.93,54.43,7.41,37.22,73.17,40.38,36.05,34.3,24.11,18.78,56.25,31.14,33.04,49.21,50.47,24.89,56.87,21.06,33.74,31.48,58.06,39.72,45.51,49.69,19.61,62.01,36.48
5,31.01,70.85,25.78,10.88,0.0,29.84,19.51,29.35,49.55,4.12,25.19,15.89,25.76,46.04,5.89,38.26,18.38,37.24,72.33,38.67,59.24,32.39,64.39,19.31,25.99,18.17,34.35,60.75,29.05,58.68,32.39,39.01,8.19,29.16,73.75,27.77,10.1,54.57,23.68,43.04,30.03,4.41,33.44,35.04,31.31,44.14,25.43,33.56,20.22,51.51,36.52,33.44,28.29,35.16,50.95,48.81,26.08,30.91,37.29,34.35,54.38,4.42,31.44,73.12,36.26,31.47,29.3,19.53,10.39,56.2,26.56,28.92,44.63,45.89,25.3,52.29,16.48,29.16,29.24,53.48,33.94,40.93,44.34,15.03,57.43,31.9
6,12.29,45.15,45.19,36.33,31.85,0.0,25.08,25.09,30.83,30.59,21.68,45.71,23.17,20.93,30.41,19.67,37.13,56.07,46.1,20.09,34.47,25.02,39.28,22.83,23.17,47.93,14.42,33.25,17.57,33.57,25.02,11.61,24.78,24.26,46.43,40.34,27.25,29.46,53.5,17.93,45.26,33.1,8.99,50.55,26.22,25.54,55.26,28.03,47.79,26.4,31.67,8.99,47.04,15.94,25.84,27.8,38.26,40.67,50.61,9.13,26.88,30.89,41.67,45.65,6.43,12.82,27.1,24.74,31.34,33.37,22.22,3.62,24.95,26.21,21.49,27.18,29.15,24.26,10.19,30.3,41.5,34.53,38.71,32.17,32.32,13.56
7,17.54,56.65,25.96,23.98,19.1,22.71,0.0,11.98,44.09,18.01,26.24,32.96,26.81,31.85,18.98,34.36,31.47,36.83,58.14,34.77,42.61,15.03,50.2,22.72,27.04,35.24,20.16,46.58,13.74,44.49,15.03,30.17,11.17,11.8,59.75,21.1,12.16,40.38,40.75,28.85,26.02,20.35,19.97,31.31,13.94,26.77,38.97,16.2,37.29,37.31,19.15,19.97,41.38,20.96,36.76,34.62,19.03,22.96,31.37,20.88,40.22,18.32,23.5,58.98,24.38,18.0,10.21,0.9,16.26,51.93,9.2,22.31,30.44,30.63,26.35,38.1,8.74,11.8,22.54,38.95,25.99,23.46,27.75,15.29,43.24,18.76
8,14.99,52.47,31.32,33.91,29.03,25.02,11.46,0.0,42.79,27.95,27.65,42.89,29.14,27.66,28.92,33.25,41.4,42.19,53.95,33.66,39.08,4.41,46.01,28.8,29.14,45.17,15.97,42.4,8.92,40.3,4.41,27.12,21.1,7.55,55.57,26.47,22.09,36.19,46.64,24.66,31.38,30.28,17.46,36.68,4.17,16.16,44.34,5.58,47.23,33.13,9.38,17.46,51.31,16.35,32.57,28.66,24.39,28.33,36.74,18.38,36.03,28.25,28.86,54.79,21.88,15.4,12.9,11.12,26.19,48.89,2.98,25.13,22.68,22.53,27.46,33.91,18.68,7.55,21.24,33.32,30.38,23.41,27.58,25.22,39.05,16.27
9,34.13,30.02,61.57,50.01,49.77,28.41,44.31,44.4,0.0,46.5,26.79,58.47,28.27,30.45,46.33,13.81,45.52,72.44,30.98,14.22,44.48,43.11,37.71,31.22,28.28,56.32,32.61,18.12,37.58,30.87,43.11,19.21,42.7,40.64,30.65,56.72,45.16,39.95,66.97,33.55,61.63,51.02,30.83,66.93,42.6,44.18,73.17,46.12,56.18,34.17,48.05,30.83,53.21,37.37,35.25,40.61,54.64,57.04,66.99,31.77,16.36,46.81,58.05,30.02,30.55,34.65,43.48,43.97,49.26,10.35,41.62,29.06,43.58,44.85,26.59,36.51,50.18,40.64,27.92,40.79,57.87,50.91,55.08,50.09,42.81,35.4
10,28.75,68.58,27.4,7.81,3.75,27.57,17.25,27.08,46.28,0.0,21.51,17.61,22.08,43.78,2.82,34.99,15.31,38.86,70.07,35.4,56.97,30.13,62.13,15.63,22.31,19.89,32.09,57.48,26.79,56.42,30.13,36.74,5.93,26.9,70.48,29.39,7.84,52.3,25.4,40.78,31.65,5.0,31.18,36.65,29.05,41.87,27.16,31.3,21.95,49.24,34.26,31.18,25.22,32.89,48.68,46.55,27.69,32.52,38.91,32.09,51.11,1.37,33.06,69.85,34.0,29.21,27.46,17.27,11.94,52.93,24.3,26.66,42.37,43.63,21.62,50.03,14.22,26.9,26.83,51.22,35.55,38.67,42.85,12.77,55.16,29.64
11,25.11,50.37,47.66,25.36,25.6,19.93,26.73,30.49,27.27,21.85,0.0,33.82,1.49,37.84,21.67,15.98,20.87,58.53,51.33,16.4,52.35,32.99,54.26,6.57,1.49,31.67,27.52,38.47,23.66,46.96,32.99,26.6,23.21,26.72,51.48,42.8,25.67,47.34,42.32,36.22,47.72,26.85,27.54,53.01,28.68,38.4,49.01,34.7,31.53,42.6,34.14,27.54,29.04,28.33,43.67,41.99,40.73,43.13,53.08,28.46,32.11,22.16,44.13,50.84,26.36,25.58,29.57,26.74,29.77,33.93,27.7,19.02,37.81,39.07,0.65,45.06,30.69,26.72,12.35,46.65,43.96,36.99,41.17,30.6,50.2,26.35
