0 40730 27980 7130 18670 24860 27110 28810 29270 14460 27730 18440 41850 45050 42590 17980 27180 14180 31210 29330 29190 42740 4560 28500 5500 28650 14180 9180 22370 17060 42070 30460 22250 23140 60210 11230 36730 27780 2560 39110 18660 17780 60210 11280 44370 19790 22510 50390 9690 19530 18680 30390 30260 40780 3460 22270 27180 36870 41760 4780 520 18360 18560 25400 8550 18070 28530 21050 18860 17060 36660 28440 36440 24910 25030 1570
40930 0 69950 35190 60350 24970 59010 42590 43050 27430 58760 29730 57640 100210 1940 29260 29290 46990 16550 45120 42970 65480 38160 10230 47470 12630 46990 29240 64330 58740 1960 72130 64210 25390 117070 31190 91880 69740 38700 94270 60340 53310 117070 47300 68010 24570 59980 66060 40490 23480 30880 87250 71970 95880 40760 16460 59080 70620 1650 37600 41250 69660 60230 67370 50520 41200 42320 19890 66450 58740 70410 62180 66210 70230 27290 41360
27550 69410 0 25530 15810 41360 1860 18920 18930 43140 2640 32660 14060 30610 71270 32960 51940 25190 59890 15710 19020 15620 32270 51480 23790 57330 25190 31120 5630 23210 62600 22550 7290 51820 19710 39910 25820 1470 28810 28320 25420 33810 26570 26050 17250 48470 28290 22600 30510 48210 45470 23550 31500 32580 29710 45250 1930 32030 62390 28510 26720 26850 15860 7830 21340 44850 19050 49730 12590 23210 34750 38310 47590 10820 53710 24760
7090 38860 26880 0 17220 22890 25240 16230 16690 15800 24990 12470 29270 51000 39390 12760 28520 15810 32550 16750 16610 37110 7510 28690 11450 29990 15810 7210 21900 23010 39410 36400 24180 24480 45730 12570 42670 26670 5140 45060 24610 20730 52600 17240 39640 21130 28450 37810 8020 20870 21920 36330 36210 46720 4530 22470 25310 42820 39100 2980 7420 24310 17110 27340 14500 21020 15950 22390 21810 23010 42610 34390 42390 27710 26370 7520
13360 61420 15740 15990 0 50160 14870 21190 21190 35150 15490 29840 26910 32870 63280 30130 52660 10020 51900 19880 21280 30490 24280 49180 8260 49340 10020 21250 10130 8040 62760 18270 10000 43820 34590 31910 24540 15530 14630 26930 10250 18640 48020 10880 32130 40480 13120 35450 22520 40220 37480 18200 24060 28590 15520 42960 14940 24590 62450 16850 12540 8780 430 13160 6170 35680 21320 41740 6470 8040 27310 19780 31140 11020 45720 12000
25000 24900 41460 20080 49340 0 38400 21990 22440 25090 38160 9820 37030 75730 25430 10110 44820 35440 33540 24510 22370 44870 26610 14730 40860 26990 35440 15680 36480 47740 25390 61130 38760 34490 55150 24870 67400 41250 23050 69790 49340 40370 67180 36870 47400 29060 53180 42290 28940 30010 33300 61060 60930 71450 24320 14180 38470 67550 25180 22750 25320 49040 49230 41920 47020 40660 21710 35420 41370 47740 67340 59110 67110 42290 36390 25420
26380 68240 1710 24360 14640 38270 0 17230 17240 41970 1220 29570 12640 31130 70110 29860 50780 24020 58720 14020 17330 16470 31100 48390 22620 56170 24020 29950 4460 22040 59510 23070 6130 50650 20560 38740 26340 1500 27650 28850 24250 32640 27420 24880 18100 47310 27120 21180 29340 47040 44300 24070 32020 33100 28540 42160 420 32560 59300 27340 25550 23510 14690 9280 20170 43680 17360 48560 11420 22040 35280 37140 45140 9650 52540 23590
28510 42200 19050 14890 21430 21910 17350 0 450 31550 17100 13210 15980 59690 42730 13510 45000 35670 45290 3460 380 23810 32940 32030 24820 38860 35670 22150 19220 31700 43150 45100 21500 40960 34090 40580 51360 18850 29780 53750 33300 45240 44770 35690 26340 34360 37140 23890 31180 35310 46140 45020 44900 55410 30680 25810 17420 51510 42940 17860 27690 33000 21480 24660 30980 45530 180 38870 24110 31700 51300 43080 51080 25030 42850 27710
28000 42550 18840 14380 21210 22250 17130 340 0 31900 16890 13560 16140 59180 43070 13850 52110 35160 45630 3240 90 23980 32440 32370 24320 39210 35160 22490 19010 31190 43500 44590 21290 41300 34260 40070 50850 18630 29270 53240 32790 44730 44550 35180 26510 34700 36640 23580 30670 35650 45630 44520 44390 54900 30170 26150 17200 51000 43290 17360 27180 32490 21270 24440 30470 45020 520 39220 23900 31190 50790 42570 50570 24810 43200 27200
14140 27240 43160 15770 33560 25600 42290 43700 44150 0 42910 19180 56740 59940 29100 18710 13690 20210 17720 44220 44080 57910 11370 21740 20680 15160 20210 12850 37550 31950 28580 45340 37420 9650 75090 4400 51610 42950 11910 54000 33550 16790 75100 20840 67110 6300 25450 65270 13700 6040 8450 45270 45150 55660 13970 15000 42360 51760 28270 14140 14470 33250 33450 40580 23730 21390 43420 7560 39660 31950 51550 43320 51330 43440 11540 14570
